DATE,BAC_N,BARC_L,BNPP_PA,C_N,CAGR_PA,GS,HSBA_L,JPM_N,MS_N,SAN_MC,SOGN_PA,WFC_N
2002-01-02,31.48,509.406461,48.362064,510.1,15.947297,91.07,706.734596,36.35,46.168062,5.593177,55.256933,21.72
2002-01-03,31.445,514.579242,48.844238,510.5,15.974326,92.45,724.163316,37.32,47.505782,5.676303,56.402611,21.8
2002-01-04,31.935,517.727891,49.229977,520,15.938287,96.75,731.134804,39,49.863513,5.711928,58.209257,21.855
2002-01-07,31.555,511.430593,49.085325,514.3,16.379766,95.75,724.163316,38.9,49.487279,5.462551,56.622934,21.89
2002-01-08,31.035,509.181558,49.18176,495,16.668079,92.5,716.320392,38.6,48.433825,5.545676,57.107643,21.805
2002-01-09,30.975,515.029049,50.242543,497.9,16.668079,93.75,700.198826,38.71,48.818419,5.492238,57.416095,21.695
2002-01-10,31,517.278084,50.001456,498.5,16.397785,93,691.048748,39.14,49.286621,5.314112,57.019514,21.735
2002-01-11,30.45,514.129435,50.435413,490.7,16.415805,91.15,688.43444,37.95,48.124477,5.349737,57.636418,21.65
2002-01-14,30.35,501.759742,49.953239,488.8,16.325707,89.97,674.491464,37.31,47.121187,5.17161,56.799192,21.51
2002-01-15,30.725,503.109163,49.808586,497.2,16.62303,89.9,681.462952,37.87,48.366939,5.397237,57.548289,22.66
2002-01-16,30.4,491.41418,49.229977,488.6,16.577981,88.63,679.284362,36.51,46.71151,5.242861,56.711063,22.675
2002-01-17,30.56,490.739469,51.158674,499,16.956391,89.86,689.741594,36.85,48.191363,5.36755,57.548289,22.805
2002-01-18,30.4,490.289662,50.097891,499.6,16.758176,89.21,674.055746,35.91,47.338567,5.3913,57.856741,22.69
2002-01-22,31.335,494.787733,51.206891,492,16.596,86.98,684.948696,35.76,46.276751,5.462551,58.42958,23.335
2002-01-23,31.43,495.687347,51.689065,495,16.767186,87.25,677.977208,35.75,46.36872,5.4388,59.354935,23.48
2002-01-24,32,507.832137,51.930152,499,17.01045,85.5,692.355902,35.9,45.48248,5.539739,60.059968,23.575
2002-01-25,31.675,506.932523,51.592631,496.2,16.938372,87.3,691.484466,34.99,46.193144,5.539739,60.676871,23.55
2002-01-28,31.82,517.727891,52.653414,493.1,16.893323,87.85,697.1488,34.31,45.975764,5.616927,61.470033,23.575
2002-01-29,29.6,504.008777,51.737283,467.1,16.938372,84.48,692.79162,32.05,43.4759,5.539739,59.927774,22.86
2002-01-30,30.83,491.639084,50.48363,475,16.758176,86,683.205824,33.06,43.977545,5.426925,58.297386,23.055
2002-01-31,31.515,502.209549,52.074805,474,16.758176,86.98,691.048748,34.05,45.984125,5.355675,60.28029,23.195
2002-02-01,30.68,501.534838,52.605196,464.9,16.686098,85.4,688.43444,32.16,44.654766,5.533801,60.588742,23.35
2002-02-04,29.7,500.185417,51.737283,443,16.172541,82.5,687.563004,30.56,42.154902,5.409113,58.165192,22.855
2002-02-05,29.45,488.940241,50.242543,448,16.21759,81.04,674.927182,29.02,41.335548,5.213173,56.050095,22.68
2002-02-06,29.425,481.068618,49.712152,440,16.127492,81.9,670.570002,29.44,40.900789,5.112235,56.226353,22.63
2002-02-07,29.475,482.867846,49.808586,441.4,15.947297,81.11,678.848644,30.07,40.633245,5.248799,56.799192,22.7
2002-02-08,30.3,483.09275,49.760369,454.9,16.316698,83.8,684.07726,31.12,43.275242,5.165673,56.534804,22.89
2002-02-11,30.625,496.586961,50.48363,458.3,16.713127,84.85,694.534492,31.84,43.601311,5.201298,56.755127,23.185
2002-02-12,30.53,488.940241,50.724717,451.5,16.794215,83.5,678.848644,31.49,42.47261,5.201298,56.97545,23.21
2002-02-13,31.06,498.161285,50.6765,453.5,17.280743,84.58,686.25585,30.25,42.932451,5.236923,56.755127,23.34
2002-02-14,31.03,488.040627,51.7855,455.5,17.172626,85.11,698.020236,30.21,43.526065,5.373487,58.121128,23.285
2002-02-15,30.4,479.26939,51.447978,441.3,17.073518,82.76,691.048748,30.05,41.703421,5.254736,57.283902,23.09
2002-02-19,29.775,479.044487,49.471064,422.2,16.668079,78.45,680.155798,29.03,39.328968,5.106297,53.890932,22.75
2002-02-20,30.59,467.799311,49.037108,435.2,16.812235,80.6,671.00572,29.41,39.939303,5.112235,54.640029,22.97
2002-02-21,30.555,469.823443,50.531848,428,16.586991,79.47,676.234336,29.14,39.880778,5.14786,56.138224,22.875
2002-02-22,30.66,464.425758,50.338978,424,16.668079,79,668.391412,28.19,38.986177,5.118172,57.151708,23.03
2002-02-25,31.625,478.819583,51.062239,437.9,16.929362,81.96,677.105772,29,40.758656,5.195361,57.372031,23.3
2002-02-26,31.82,482.193136,51.97837,438,16.839264,81.4,678.848644,28.96,40.758656,5.254736,58.341451,23.315
2002-02-27,31.78,477.919969,52.990936,442.4,16.938372,80.89,694.534492,28.96,40.407505,5.474426,59.354935,23.42
2002-02-28,31.975,466.674793,54.051719,452.5,17.073518,80.94,673.18431,29.25,41.068004,5.474426,60.28029,23.45
2002-03-01,32.4,475.670934,53.135588,458,17.163616,83.47,677.977208,29.6,42.004408,5.545676,60.544678,23.92
2002-03-04,33.2,488.715338,53.617762,476.1,16.848274,89.1,729.391932,32.53,44.939031,5.700053,61.161581,24.57
2002-03-05,32.525,491.189276,54.38924,477,16.920352,89.52,712.39893,32.51,45.950682,5.694115,61.425968,24.31
2002-03-06,33.35,491.863987,55.305371,487,16.848274,90.87,721.984726,34.05,47.121187,5.729741,61.602227,24.55
2002-03-07,33.49,494.787733,54.003501,487.2,16.983421,89.96,726.341906,34.05,46.168062,5.729741,61.690356,24.445
2002-03-08,33.915,498.611092,52.653414,488.7,16.983421,90.29,726.777624,34.74,47.539225,5.664427,61.998807,24.445
2002-03-11,33.875,495.23754,52.894501,489,16.740157,90.7,728.084778,36.3,47.204795,5.593177,61.293775,24.65
2002-03-12,34,493.213408,52.556979,493.3,16.758176,89.8,724.163316,36.25,47.221516,5.569427,60.809065,24.95
2002-03-13,33.825,500.185417,52.17124,483.9,16.884313,88,726.777624,35.37,46.251669,5.676303,60.500613,24.8
2002-03-14,33.5,499.960514,53.08737,488.1,17.190645,88.4,728.520496,35.11,45.716581,5.646615,61.24971,24.7
2002-03-15,34.59,510.306075,52.798066,496.9,17.298763,90,733.749112,36.01,47.213155,5.759428,61.073452,25.25
2002-03-18,34.405,513.904531,54.099936,495.5,17.614105,89.2,736.36342,35.34,47.505782,5.789116,62.351324,25.085
2002-03-19,34.43,512.780014,54.77498,499,17.929447,91.05,734.18483,36.09,48.392021,5.895992,62.086936,25.095
2002-03-20,33.92,510.530979,53.521327,492.5,18.010535,89.85,701.50598,35.19,47.463978,5.872242,62.351324,24.765
2002-03-21,34,503.783873,53.135588,496,18.334886,90.35,697.1488,34.79,47.505782,5.795054,62.263195,24.6
2002-03-22,34.325,493.213408,54.003501,498.4,18.650229,89.73,701.070262,35.2,46.786757,5.777241,62.086936,24.775
2002-03-25,34.075,486.466303,53.617762,486.5,18.884483,88.03,697.1488,34.98,45.858714,5.640677,62.483517,24.52
2002-03-26,34.56,480.393908,53.714197,491.5,18.794385,88.85,692.79162,35.15,46.644624,5.628802,62.042872,24.575
2002-03-27,34.4,480.169004,54.533893,500,19.352991,89.3,698.891672,35.5,47.37201,5.652552,62.351324,24.815
2002-03-28,34.01,488.040627,55.835763,495.2,19.713382,90.25,707.606032,35.65,47.915458,5.700053,63.893583,24.7
2002-04-02,34.375,487.141013,55.257154,494.5,20.362085,87.53,691.920184,35.31,47.480699,5.700053,63.100421,24.51
2002-04-03,34.13,486.691206,55.642893,487.7,19.749421,86.46,692.79162,35.01,46.535935,5.771303,64.686744,24.15
2002-04-04,34.35,481.293522,54.485675,486.5,19.298932,86.55,687.127286,34.44,46.811839,5.664427,63.805454,24.375
2002-04-05,34.46,484.891978,54.341023,486.7,19.641303,86.15,688.43444,34.86,46.744953,5.676303,63.012292,24.485
2002-04-08,34.74,479.719197,52.894501,486,19.289922,86.06,683.205824,34.98,46.552656,5.569427,61.778485,24.57
2002-04-09,34.85,490.064759,53.47311,488.4,19.758431,84.6,689.305876,35.19,46.193144,5.63474,62.395388,24.645
2002-04-10,34.97,500.860128,54.244588,486.3,19.551206,84.49,690.61303,35.04,45.574448,5.711928,64.422357,24.8
2002-04-11,34.375,498.161285,53.232023,467.6,19.37101,81.24,681.462952,33.46,43.174913,5.610989,62.880098,24.55
2002-04-12,35.025,506.032908,52.798066,471,19.722391,83,681.027234,34.28,44.387222,5.688178,63.629195,24.99
2002-04-15,34.6,508.281944,53.424892,459.2,19.965655,81.6,682.334388,34.4,44.02771,5.759428,64.202034,24.795
2002-04-16,35.36,515.029049,55.691111,481.1,20.632378,84.59,690.61303,35.38,45.883796,5.907867,65.568035,25.05
2002-04-17,35.4,511.655496,55.450024,476.2,20.271988,85.05,701.070262,37.27,46.009207,5.961305,65.12739,25.55
2002-04-18,35.31,516.828277,56.221502,470.5,20.632378,84.52,701.070262,37.26,46.142979,5.967243,66.537455,25.67
2002-04-19,35.81,516.828277,57.860894,465.3,21.010789,86.31,703.248852,37.76,45.975764,6.127557,69.313521,25.545
2002-04-22,35.53,509.856268,56.607241,454.5,20.94772,84.1,699.32739,36.6,44.855424,6.091931,67.903456,25.11
2002-04-23,36,517.278084,56.703676,455,21.037818,81.6,701.50598,36.2,44.730013,6.21662,67.991585,24.915
2002-04-24,35.75,549.66419,55.88398,447,20.677427,79.49,712.39893,35.89,42.631464,6.109744,68.079714,25.24
